Item Name,Qty,Price (total) (GBP),Item link,Notes
ESP32-WROVER-E-N16R8,1,$6.32,https://www.digikey.co.uk/en/products/detail/espressif-systems/ESP32-WROVER-E-N16R8/11613135?s=N4IgTCBcDaIKIGUAKBmMBaA6gJQPIDU5t050A5ARgDZsAOEAXQF8g,
"Adafruit ST7789 LCD 1.9"" Display",1,$17.50,https://www.digikey.co.uk/en/products/detail/adafruit-industries-llc/5394/21283798?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlgIL6rF7lRDn2jhN3BvbvQ09&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-c-NYEGuBy1UhoMSKWgr1AU-gHMt_diM6wG9iPOV44vTPi57o6wUPRoCtb8QAvD_BwE,
TS02-66-60-BK-260-LCR-D,10,$0.11,https://www.digikey.co.uk/short/d33hn1qf,
B2B-PH-K-S,1,$0.12,https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/B2B-PH-K-S/926611?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlgIL6rF7lRDn2jhN3BvbvQ09&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-RaO380f48P1oLLVmztDKntPU52zsKHBk2k32WVc9tZON7BJT5kHchoCI8IQAvD_BwE,
150060GS75000,2 (RED & GREEN),$0.15,https://www.digikey.co.uk/en/products/detail/w-rth-elektronik/150060GS75000/4489898?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlgIL6rF7lRDn2jhN3BvbvQ09&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-VqpmzslUrRU6yGHW0D95Wb7yo28de1JDJHn7qWnTLQuopkj_cC18hoC_bsQAvD_BwE,
AT-1224-TWT-5V-2-R,1,$0.73,https://www.digikey.co.uk/en/products/detail/pui-audio-inc/AT-1224-TWT-5V-2-R/5011404,
USB4215-03-A,1,$0.53,https://www.digikey.co.uk/short/r2f9ddnd,
C0603C104K5RACTU,3,$0.13,https://www.digikey.co.uk/short/3578qzzw,
CRCW06031K00FKEA,"6 (100, 10k, 220, 5.1k, 1k, 12k)",$0.10,https://www.digikey.co.uk/short/nj77q28q,
TPB4056B2X-ES1R,1,$0.52,https://www.digikey.co.uk/en/products/detail/3peak/TPB4056B2X-ES1R/22228451?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlgIL6rF7lRDn2jhN3BvbvQ09&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-TBYeWz_cwTUMlIFOsfdzhI6aqSf1pj6GOaC1J3n-WAIZnAJx4DYGxoCSQUQAvD_BwE,
USBLC6-2SC6,1,$0.91,https://www.digikey.co.uk/en/products/detail/umw/USBLC6-2SC6/16705896?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlgIL6rF7lRDn2jhN3BvbvQ09&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-Y2TI8xXLjs814HRfVz5KbI3EJG0rN0go1PSFrbmLpoyu39nBekfxBoCiRIQAvD_BwE,
CH340N,1,$0.38,https://www.alibaba.com/product-detail/CH340N-Package-SOP-8-Built-in_1601642738717.html?mark=google_shopping&pcy=gb_en&src=sem_ggl&field=UG&from=sem_ggl&cmpgn=22661385316&adgrp=&fditm=&tgt=&locintrst=&locphyscl=9222618&mtchtyp=&ntwrk=x&device=c&dvcmdl=&creative=&plcmnt=&plcmntcat=&aceid=&position=&gad_source=1&gad_campaignid=22651644150&gbraid=0AAAAAD8m77o1cxXlbJqQdFWhemkLAecAx&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-Zrdu_jXEpR-aOg54IIwZAcLco8DPLvnaJqVx_PWV5-KGLRvBy0fPhoCpikQAvD_BwE,min order quantity is 2
SK6812MINI-E,8,$1.45,https://www.aliexpress.com/item/1005008308801366.html?src=google&src=google&albch=shopping&acnt=494-037-6276&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008308801366&ds_e_product_merchant_id=5318022646&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23838444405&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23838478926&gbraid=0AAAAADznYb_Nr9s2sJz0jx1o5bBNw1tq9&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-WlGseI4Ck8Meb_OZp1L9DEuXo7rAugg5Jg4L7OAslTSjozWZFY9thoCzwIQAvD_BwE,
1N4148WS,8,$0.18,https://www.digikey.co.uk/en/products/detail/onsemi/1N4148WS/1873805?gclsrc=aw.ds&gad_source=1&gad_campaignid=20265362335&gbraid=0AAAAADrbLlgVzdz1mrsVFzayh8wneXQZn&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-W5q5QXCshPX258vdyS-Syu9IlTFg0EUJrnAZAeBQv_BqtZ4FCCVwxoCDBsQAvD_BwE,
2000mAh LiPo battery,1,$10.00,https://thepihut.com/products/2000mah-3-7v-lipo-battery,
,,,,
,,,,
PCB,5,$22.90,NA,min order quantity is 5 from jlcn (price includes shipping and assembly for SMD parts)
,,,,
Total Price (GBP):,$62.03,,,
Total Price (USD):,$83.10,,,
